Ce_wt,Cr_wt,T_equil_C,C,SI,MN,CU,NI,P,S,CE,CR,calculation_status,calculation_error,stable_phases,n_stable_phases,phasefrac_FCC_A1#1,phasefrac_MS_B1#1,phase_fraction_sum,phasefrac_base_CE2C3_D5C,phasefrac_base_CE3S4_D73,phasefrac_base_LAVES_C15,phasefrac_base_MU_PHASE,phasefrac_base_LAVES_C14,phasefrac_base_BCC_A2,phasefrac_base_CHI,phasefrac_base_MS_B1,phasefrac_base_FCC_A1,phasefrac_base_SIGMA,phasefrac_base_CE2S3,phasefrac_base_M7C3_D101,matrix_phase_fraction,matrix_Cr_wt,matrix_Mn_wt,matrix_Cu_wt,phasefrac_CE2S3#1,phasefrac_CE3S4_D73#1,phasefrac_CE2C3_D5C#1,harmful_phase_fraction,calphad_feasible
0.01,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.01,0.9,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998473175421664,5.483564561037241e-05,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.483564561037241e-05,0.9998473175421664,0.0,9.784681222354919e-05,0.0,0.9998473175421664,0.9000612040623723,0.5975221773426442,0.35006187695548635,9.784681222354919e-05,,,0.0,True
0.01,1.0,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.01,1.0,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998473309340764,5.4824862226953425e-05,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4824862226953425e-05,0.9998473309340764,0.0,9.784420369655498e-05,0.0,0.9998473309340764,1.0000702247083642,0.597531441538733,0.35006187457062277,9.784420369655498e-05,,,0.0,True
0.01,1.1,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.01,1.1,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998473442915857,5.4814387821637564e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4814387821637564e-05,0.9998473442915857,0.0,9.78413205926305e-05,0.0,0.9998473442915857,1.1000795564719337,0.5975403727442579,0.35006187226058016,9.78413205926305e-05,,,0.0,True
0.01,1.2,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.01,1.2,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998473576186959,5.480419369586683e-05,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.480419369586683e-05,0.9998473576186959,0.0,9.783818760801276e-05,0.0,0.9998473576186959,1.2000891761398025,0.597548995873214,0.3500618700192931,9.783818760801276e-05,,,0.0,True
0.01,1.3,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.01,1.3,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.999847370918887,5.4794254730357776e-05,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4794254730357776e-05,0.999847370918887,0.0,9.783482638278665e-05,0.0,0.999847370918887,1.3000990630889508,0.5975573330538396,0.3500618678413955,9.783482638278665e-05,,,0.0,True
0.015,0.8,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.015,0.8,ok,,CE2S3#1;CE3S4_D73#1;FCC_A1#1,3,0.9998545084362073,,1.0,0.0,3.6090737179895274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9998545084362073,0.0,0.00010940082661287838,0.0,0.9998545084362073,0.8001600319438971,0.6001200239579203,0.35007001397545323,0.00010940082661287838,3.6090737179895274e-05,,0.0,True
0.015,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.015,0.9,ok,,CE2S3#1;CE3S4_D73#1;FCC_A1#1,3,0.999854519110451,,1.0,0.0,3.6088097588878206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.999854519110451,0.0,0.00010939279196020272,0.0,0.999854519110451,0.9001800359365739,0.6001200239577134,0.35007001397533266,0.00010939279196020272,3.6088097588878206e-05,,0.0,True
0.015,1.0,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.015,1.0,ok,,CE2S3#1;CE3S4_D73#1;FCC_A1#1,3,0.9998545297831329,,1.0,0.0,3.608545844731047e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9998545297831329,0.0,0.00010938475841975007,0.0,0.9998545297831329,1.0002000399291684,0.6001200239575042,0.3500700139752109,0.00010938475841975007,3.608545844731047e-05,,0.0,True
0.015,1.1,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.015,1.1,ok,,CE2S3#1;CE3S4_D73#1;FCC_A1#1,3,0.9998545404542534,,0.9999999999999998,0.0,3.6082819755284424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9998545404542534,0.0,0.00010937672599107103,0.0,0.9998545404542534,1.1002200439217025,0.6001200239572895,0.350070013975087,0.00010937672599107103,3.6082819755284424e-05,,0.0,True
0.015,1.2,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.015,1.2,ok,,CE2S3#1;CE3S4_D73#1;FCC_A1#1,3,0.9998545511238133,,0.9999999999999999,0.0,3.60801815128917e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9998545511238133,0.0,0.0001093686946737171,0.0,0.9998545511238133,1.2002400479141622,0.600120023957081,0.350070013974963,0.0001093686946737171,3.60801815128917e-05,,0.0,True
