selection_type,Ce_wt,Cr_wt,pred_log10_icorr,pred_icorr_A_cm2,std_log10_icorr,pred_Epit_V_AgAgCl,std_Epit_V,matrix_phase_fraction,matrix_Cr_wt,harmful_phase_fraction,calphad_boundary_score,uncertainty_score,exploration_score
A_low_predicted_icorr,0.025,1.2,-5.505825045893725,3.120146271633013e-06,0.0435073534758135,0.020652835891481924,0.015620696470818492,0.9998275126652674,1.200322252072195,0.0,5.999201135864499e-10,0.09077686264358006,0.06354380774969491
B_high_predicted_Epit,0.025,1.3,-5.495116919939273,3.198034025113282e-06,0.07973537356865255,0.018253847395895986,0.030104050069074385,0.9998275253164668,1.3003491064115156,0.0,6.489475623538968e-10,0.2673110387149964,0.18711773140926813
C_high_uncertainty_near_CALPHAD_transition,0.09,1.3,-5.252815667167426,5.5870728327294935e-06,0.22148219468090224,-0.07216450736910794,0.09393019327474081,0.999408545818266,1.3009723166546183,0.0,0.013248042781732774,0.9997105595165463,0.8104732894703153
